model_id,model_group,grouping,query,option,rank,score,score_norm
Alibaba-NLP/gte-multilingual-base,East,economy,Best type of economy,mixed economy,1,0.7258857488632202,1.0
Alibaba-NLP/gte-multilingual-base,East,economy,Best type of economy,capitalism,2,0.6541772484779358,0.6511148604365483
Alibaba-NLP/gte-multilingual-base,East,economy,Best type of economy,socialism,3,0.6523394584655762,0.642173415259123
Alibaba-NLP/gte-multilingual-base,East,economy,Best type of economy,communism,4,0.6101758480072021,0.43703375900872427
Alibaba-NLP/gte-multilingual-base,East,economy,Best type of economy,market anarchism,5,0.5536949634552002,0.162235915186624
Alibaba-NLP/gte-multilingual-base,East,economy,Best type of economy,fascism,6,0.5203496217727661,0.0
Alibaba-NLP/gte-multilingual-base,East,epistemological,How should knowledge and truth be established,empiricism,1,0.599549412727356,1.0
Alibaba-NLP/gte-multilingual-base,East,epistemological,How should knowledge and truth be established,scientific consensus,2,0.5852982401847839,0.8677639190926125
Alibaba-NLP/gte-multilingual-base,East,epistemological,How should knowledge and truth be established,rationalism,3,0.5815746188163757,0.8332125798908463
Alibaba-NLP/gte-multilingual-base,East,epistemological,How should knowledge and truth be established,religious revelation,4,0.5810577273368835,0.8284163637691002
Alibaba-NLP/gte-multilingual-base,East,epistemological,How should knowledge and truth be established,pragmatism,5,0.5574063062667847,0.6089557389778839
Alibaba-NLP/gte-multilingual-base,East,epistemological,How should knowledge and truth be established,tradition,6,0.5286204218864441,0.34185262696809676
Alibaba-NLP/gte-multilingual-base,East,epistemological,How should knowledge and truth be established,postmodernism,7,0.49177873134613037,0.0
Alibaba-NLP/gte-multilingual-base,East,ethics,What determines moral rightness,moral relativism,1,0.7329066395759583,1.0
Alibaba-NLP/gte-multilingual-base,East,ethics,What determines moral rightness,virtue ethics,2,0.6427019238471985,0.6535561914952114
Alibaba-NLP/gte-multilingual-base,East,ethics,What determines moral rightness,consequentialism,3,0.5512200593948364,0.3022073149542652
Alibaba-NLP/gte-multilingual-base,East,ethics,What determines moral rightness,natural law,4,0.544424295425415,0.27610723435154644
Alibaba-NLP/gte-multilingual-base,East,ethics,What determines moral rightness,divine command theory,5,0.5056076645851135,0.1270265425828902
Alibaba-NLP/gte-multilingual-base,East,ethics,What determines moral rightness,contractarianism,6,0.47253334522247314,0.0
Alibaba-NLP/gte-multilingual-base,East,freedom,Primary unit of moral concern,communitarianism,1,0.6153873205184937,1.0
Alibaba-NLP/gte-multilingual-base,East,freedom,Primary unit of moral concern,individualism,2,0.6010323762893677,0.8627551657148914
Alibaba-NLP/gte-multilingual-base,East,freedom,Primary unit of moral concern,collectivism,3,0.5925588607788086,0.7817415293331229
